School,Team,Block,Zoom_Video_Position,ACTUAL_ID_at_Top_or_Left,ACTUAL_ID_at_Middle,ACTUAL_ID_at_Bottom_or_Right,VIDEO_ID_at_Top_or_Left,VIDEO_ID_at_Middle,VIDEO_ID_at_Bottom_or_Right,TEXT_ID_at_Top_or_Left,TEXT_ID_at_Middle,TEXT_ID_at_Bottom_or_Right
CU,T10,WU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CU,T11,ExpBlock1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CU,T11,ExpBlock2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CU,T11,WU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CU,T12,ExpBlock1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CU,T12,ExpBlock2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CU,T12,WU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CU,T14,ExpBlock1,vertical,PB,PA,PC,P1,P2,P3,PC,PA,PB
CU,T14,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T14,WU,horizontal,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T15,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T15,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T15,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T16,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T16,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T16,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T18,ExpBlock1,vertical,PB,PA,PD,PB,PA,PD,PB,PA,PD
CU,T18,ExpBlock2,vertical,PD,PA,PB,PD,PA,PB,PD,PA,PB
CU,T18,WU,vertical,PA,PB,PD,PA,PB,PD,PA,PB,PD
CU,T19,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T19,ExpBlock2,vertical,PC,PA,PB,PD,PA,PB,PD,PA,PB
CU,T19,WU,vertical,PA,PC,PB,PA,PB,PC,PA,PB,PC
CU,T20,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T20,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T20,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T27,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T27,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T27,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T29,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T29,ExpBlock2,horizontal,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T29,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T30,ExpBlock1,horizontal,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T30,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T30,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T31,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T31,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T31,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T33,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T33,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T33,WU,vertical,PA,PC,PB,PA,PB,PC,PA,PB,PC
CU,T34,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T34,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T34,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T35,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T35,ExpBlock2,horizontal,PC,PA,PB,PC,PB,PA,PC,PB,PA
CU,T35,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T36,ExpBlock1,vertical,PB,PD,PC,PB,PD,PC,PB,PD,PC
CU,T36,ExpBlock2,vertical,PC,PD,PB,PC,PD,PB,PC,PD,PB
CU,T36,WU,vertical,PD,PB,PC,PA,PB,PC,PA,PB,PC
CU,T37,ExpBlock1,horizontal,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T37,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T37,WU,vertical,PA,PC,PB,PA,PB,PC,PA,PB,PC
CU,T38,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T38,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T38,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T39,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T39,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T39,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T40,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T40,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T40,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T43,ExpBlock1,vertical,PD,PA,PC,PD,PA,PC,PD,PA,PC
CU,T43,ExpBlock2,vertical,PC,PA,PD,PC,PA,PD,PC,PA,PD
CU,T43,WU,vertical,PA,PD,PC,PA,PD,PC,PA,PD,PC
CU,T44,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T44,ExpBlock2,horizontal,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T44,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T45,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T45,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T45,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T46,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T46,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T46,WU,vertical,PA,PC,PB,PA,PC,PB,PA,PC,PB
CU,T48,ExpBlock1,horizontal,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T48,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T48,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T49,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T49,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T49,WU,vertical,PA,PC,PB,PA,PC,PB,PA,PC,PB
CU,T52,ExpBlock1,vertical,PB,PA,PD,PB,PA,PD,PB,PA,PD
CU,T52,ExpBlock2,vertical,PD,PA,PB,PD,PA,PB,PD,PA,PB
CU,T52,WU,vertical,PA,PB,PD,PA,PB,PD,PA,PB,PD
CU,T53,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T53,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T53,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T54,ExpBlock1,horizontal,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T54,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
